subdir,filename,size,md5,sha256,internal_version
core-jieli-a073,20260509133654_MOY-A073-0.0.7-BIN-DB9EAD80-ENCRYPTED.ufw,1696128,3fe963c5c6d766a95689d7845321a7dc,0ebc0769116d33c77376758eb440464e39f5d7adc644b6ad14a5a6043e32642f,
core-jieli-a073,20260509163209_MOY-A073-0.0.7-BIN-C0CD42A8-ENCRYPTED_(1).ufw,1696128,c84ceab3ad366f774bfb8a30b39276f1,d45e51e2f51c212daafbd1114d028195c5f5f4e3ee2bf8129b85449ef658c932,
core-jieli-a073,20260519182752_MOY-A073-0.0.7-BIN-C0CD42A8-ENCRYPTED.ufw,1696128,c84ceab3ad366f774bfb8a30b39276f1,d45e51e2f51c212daafbd1114d028195c5f5f4e3ee2bf8129b85449ef658c932,
core-jieli-a073,20260527101729_MOY-A073-0.0.8-BIN-635B71D3-ENCRYPTED.ufw,1702560,34fa721565c26f68e258bbc72c8437c3,a3659c0911a08d5a7aab2d030d717ca1afa2e0b31969273a753d4f03d11bedc6,
core-jieli-a073,20260527115422_MOY-A073-0.0.8-BIN-006B3E00-ENCRYPTED.ufw,1702560,c6f3ad6898205ad709f7d3b01d8c05ee,effffadc3cb7966b91ecd8c04cc5ddbb73efe2ec04ca91c68952cb86b1adb176,
core-jieli-a073,20260529144713_MOY-A073-0.0.6-BIN-EAEF9E31-ENCRYPTED.ufw,1691968,181b284597da1babbd9ebb564efe7e51,6062e6f3ca37f4c7130a08b500c8b08b9761b9358fa5077152f9ae41a951f5fd,
core-jieli-a073,20260529161018_MOY-A073-0.0.9-BIN-58233E57-ENCRYPTED.ufw,1702560,92e1e5d64da463edfd714da8e42f947f,349758715ea446a50d8c5141973c144d030fafc29cbcef4a3b2e7ea2e65737af,
core-jieli-a073,20260529194224_MOY-A073-0.0.8-BIN-C363B807-ENCRYPTED_(1).ufw,1702560,2124f3b157bf653f67d422466d734ca2,7962c57b231ae52136257c507439376842b5231a86a8a732f78962576dca59ac,
core-jieli-a073,20260601114555_MOY-A073-0.0.8-BIN-C363B807-ENCRYPTED_(2).ufw,1702560,2124f3b157bf653f67d422466d734ca2,7962c57b231ae52136257c507439376842b5231a86a8a732f78962576dca59ac,
core-jieli-a073,20260601123210_MOY-A073-0.0.8-BIN-C363B807-ENCRYPTED.ufw,1702560,2124f3b157bf653f67d422466d734ca2,7962c57b231ae52136257c507439376842b5231a86a8a732f78962576dca59ac,
core-jieli-a073,20260714184636_MOY-A073-0.1.0-BIN-DAD63A87-ENCRYPTED.ufw,1703232,17b83173c38e0920e0a50cff3fb09017,749495303696b23c39047a09d80d7544bda37cc03b7e977d02ef7e7b4c9ab815,
core-jieli-a073,20260724152156_MOY-A073-0.1.2-BIN-958D9F8F-ENCRYPTED_(1).ufw,1761216,0cd54cb064b5d65206287ed79f43b4c0,5cdd73b802a602639120cedfd2e8209a0060558aaef1c344fe18425cb502d94a,
core-jieli-a073,20260728115407_MOY-A073-0.1.2-BIN-00D9B750-ENCRYPTED.ufw,1761216,d210553d202e8c976ba648f7689b6f5c,8958368f7df36a670c091a7302d2eda64f57753cb9dc18f77983378be50c1680,
core-jieli-a073,20260729101228_MOY-A073-0.1.2-BIN-DB871633-ENCRYPTED.ufw,1761248,277e865240263129aef9d8f7ab983155,e1a82754a341772a7521ef26e238fdf1280cacbbfc8c0d29ae1bebf34d9cc62d,
vision-v821/aiglass-ab,20260203155551_openwrt_v821_aiglass-ab.swu,12375040,23d5aaaffe224f0816c2452edca06159,a27c9442af887d3cb2f20d4ec20f3aacfe434f43789dab86879a94154a8cab37,
vision-v821/aiglass-ab,20260303095648_openwrt_v821_aiglass-ab.swu,7454720,8e6017defadb698dab2d683551103b21,daff5f261bc3190f3509bb5df05945364009e12fece19e2705efaee8064d0cc4,
vision-v821/aiglass-ab,20260317102636_openwrt_v821_aiglass-ab.swu,12634624,05fa1a17f9ce552ba037b680adb0381a,ba31c717dd881140183187f5be283cff7870f20cecffa35b0ef6808ab7c8af60,
vision-v821/aiglass-ab,20260331102923_openwrt_v821_aiglass-ab.swu,12500480,fed13269c2faae89bcd8fd0d34bdc1ca,ea4628879f410597d70067d36a90e2ae5d1c466a2cde785c3d55ec0ce1323b57,
vision-v821/aiglass-ab,20260331103738_openwrt_v821_aiglass-ab.swu,12362752,a220bedf8cfcf1c5c0cc888c609a3528,b60c04b039f17b10438386b71bd09c4e174a85a0aa6ca835d855705f2fdb6ef4,
vision-v821/aiglass-ab,20260331171209_openwrt_v821_aiglass-ab.swu,12633600,491ababfc0e4ea3def523cb985a822f1,790ff25e12a25b46cc6756e9383b9427d44b2e0b1358eee2fca6c63922d95952,
vision-v821/aiglass-ab,20260421173210_openwrt_v821_aiglass-ab.swu,12502016,3c92bbf262ae8c653db875c482297ade,5944eca979d866a56655bb97392086001eb41a24abc85b08cade0a8e2adf9285,
vision-v821/aiglass-ab,20260506152222_openwrt_v821_aiglass-ab.swu,12507648,88550f0510751cb2fce96c0ecba43b03,2919ef9b2b25e0b44c192fc3efaef232d229074a8c99748dab9506d37a9fb597,
vision-v821/aiglass-ab,20260506155551_openwrt_v821_aiglass-ab.swu,12914176,a50ab90d036ebcb5a227ecafffc168d9,6920a4e53f07406a08fb2ff5e1876378e8c3bbfc98128a59a1a4e8245a59f528,
vision-v821/aiglass-ab,20260506173138_openwrt_v821_aiglass-ab.swu,12506112,96282e967ce4e1b986f2ca4289085ca9,5b1537046dd413fecd64ba50ab310b014765f686debcecfcea0831ba9e9a394b,
vision-v821/aiglass-ab,20260522093024_openwrt_v821_aiglass-ab.swu,12510208,2275f918e0749404cff3163aa905d637,8cdbd3a4c26660445949e4a082b4e14a691ef4790e1615bad1ed9c185b2799d6,
vision-v821/aiglass-ab,20260522160416_openwrt_v821_aiglass-ab.swu,12493824,98a0f338a9c5ed6bd8709b3ae4185807,42a5cbe4c4e0644e9effcb60c5e84cca3a2e4f3762fce98d23f8b4a22e2e3c2f,
